Date;IGPM;IPCS4;FIPE4;IPCA;IGP10;IPAM;INCCM;IPCA15
2000-05-01;0.31;0.40;0.03;0.01;0.18;0.20;0.57;0.09
2000-06-01;0.85;-0.01;0.18;0.23;0.76;1.25;1.09;0.08
2000-07-01;1.57;1.91;1.40;1.61;1.22;1.98;0.83;0.78
2000-08-01;2.39;0.86;1.55;1.31;2.52;3.10;0.35;1.99
2000-09-01;1.16;0.04;0.27;0.23;1.52;1.81;0.30;0.45
2000-10-01;0.38;0.02;0.01;0.14;0.51;0.59;0.28;0.18
2000-11-01;0.29;0.40;-0.05;0.32;0.35;0.36;0.29;0.17
2000-12-01;0.63;0.62;0.26;0.59;0.51;0.66;0.49;0.60
2001-01-01;0.62;0.64;0.38;0.57;0.63;0.66;0.40;0.63
2001-02-01;0.23;0.40;0.11;0.46;0.40;0.08;0.55;0.50
2001-03-01;0.56;0.56;0.51;0.38;0.36;0.65;0.34;0.36
2001-04-01;1.00;0.86;0.61;0.58;0.94;1.24;0.28;0.50
2001-05-01;0.86;0.41;0.17;0.41;1.10;0.79;2.00;0.49
2001-06-01;0.98;0.52;0.85;0.52;0.69;1.31;0.69;0.38
2001-07-01;1.48;1.36;1.21;1.33;1.32;1.73;1.07;0.94
2001-08-01;1.38;0.54;1.15;0.70;1.67;1.75;0.56;1.18
2001-09-01;0.31;0.12;0.32;0.28;0.63;0.34;0.59;0.38
2001-10-01;1.18;0.71;0.74;0.83;0.87;1.53;0.92;0.37
2001-11-01;1.10;0.85;0.61;0.71;1.27;1.30;0.60;0.99
2001-12-01;0.22;0.70;0.25;0.65;0.42;-0.08;0.70;0.55
2002-01-01;0.36;0.79;0.57;0.52;0.26;0.14;0.40;0.62
2002-02-01;0.06;0.14;0.26;0.36;0.14;-0.09;0.31;0.44
2002-03-01;0.09;0.42;0.07;0.60;0.18;-0.14;0.84;0.40
2002-04-01;0.56;0.71;0.06;0.80;0.36;0.52;0.32;0.78
2002-05-01;0.83;0.28;0.06;0.21;0.70;0.81;2.47;0.42
2002-06-01;1.54;0.55;0.31;0.42;1.35;2.31;0.21;0.33
2002-07-01;1.95;1.03;0.67;1.19;1.86;2.66;0.63;0.77
2002-08-01;2.32;0.76;1.01;0.65;2.26;3.20;0.82;1.00
2002-09-01;2.40;0.66;0.76;0.72;2.40;3.43;0.68;0.62
2002-10-01;3.87;1.14;1.28;1.31;3.32;5.62;0.82;0.90
2002-11-01;5.19;3.14;2.65;3.02;4.73;6.73;2.19;2.08
2002-12-01;3.75;1.94;1.83;2.10;4.87;4.45;2.13;3.05
